Tanggal,Kode,Strategi,Entry,SL,TP1,TP2,Pernah_Warning,Status_TP
2026-08-20,TEBE.JK,🚀 BREAKOUT,1865.0,1395.357142857143,2058.928571428572,2252.8571428571427,True,
2026-08-20,BYAN.JK,🌟 KATALIS POSITIF MASIF,16175.0,10821.42857142857,18110.714285714286,18946.42857142857,False,
2026-08-20,BWPT.JK,🚀 BREAKOUT,112.0,88.17857142857143,123.46428571428572,134.92857142857144,True,
2026-08-20,PSAB.JK,🚀 BREAKOUT,640.0,493.8571428571428,688.4285714285714,736.8571428571429,False,
2026-08-20,HRTA.JK,🚀 BREAKOUT,2340.0,2086.6071428571427,2500.178571428572,2660.357142857143,False,
2026-08-20,BRMS.JK,🚀 BREAKOUT,685.0,607.5,737.5,790.0,False,TP1
2026-08-20,FILM.JK,👀 BULLISH DIVERGENCE,815.0,722.1428571428571,1035.227047047675,1280.0,False,
2026-08-20,AALI.JK,🚀 BREAKOUT,8000.0,7439.285714285715,8332.142857142857,8664.285714285714,False,
2026-08-21,BBNI.JK,🚀 BREAKOUT,3730.0,3513.5714285714284,3839.285714285714,3948.571428571429,False,TP1
2026-08-21,CSMI.JK,🚀 BREAKOUT,167.0,116.32142857142856,190.03571428571428,213.07142857142856,True,TP1
2026-08-21,BBRI.JK,🚀 BREAKOUT,3230.0,3058.5714285714284,3324.285714285714,3418.5714285714284,True,TP1
2026-08-21,BRIS.JK,🔥 CONFIRM REVERSAL,1805.0,1756.7857142857142,1859.642857142857,1890.0,False,
2026-08-21,INET.JK,🚀 BREAKOUT,330.0,279.0,363.0,396.0,True,TP1
2026-08-21,OASA.JK,✨ KATALIS POSITIF SIGNIFIKAN,326.0,303.42857142857144,323.55690735068214,380.0,True,TP1
2026-08-21,INET.JK,🚀 BREAKOUT,330.0,279.0,363.0,396.0,True,TP1
2026-08-21,OASA.JK,✨ KATALIS POSITIF SIGNIFIKAN,326.0,303.42857142857144,323.55690735068214,380.0,True,TP1
2026-08-21,BBNI.JK,🚀 BREAKOUT,3730.0,3513.5714285714284,3839.285714285714,3948.571428571429,False,TP1
2026-08-21,CSMI.JK,🚀 BREAKOUT,167.0,116.32142857142856,190.03571428571428,213.07142857142856,True,TP1
2026-08-21,BBRI.JK,🚀 BREAKOUT,3230.0,3058.5714285714284,3324.285714285714,3418.5714285714284,True,TP1
2026-08-21,BRIS.JK,🔥 CONFIRM REVERSAL,1805.0,1756.7857142857142,1859.642857142857,1890.0,False,
2026-08-24,BRMS.JK,🌟 KATALIS POSITIF MASIF,725.0,607.5,737.5,790.0,False,TP1
2026-08-24,CSMI.JK,🚀 BREAKOUT,167.0,116.32142857142856,190.03571428571428,213.07142857142856,True,TP1
2026-08-24,INET.JK,✨ KATALIS POSITIF SIGNIFIKAN,340.0,279.0,363.0,396.0,True,TP1
2026-08-24,BRMS.JK,🌟 KATALIS POSITIF MASIF,730.0,607.5,737.5,790.0,False,TP1
2026-08-24,CSMI.JK,🚀 BREAKOUT,167.0,116.32142857142856,190.03571428571428,213.07142857142856,True,TP1
2026-08-24,BRIS.JK,🌟 KATALIS POSITIF MASIF,1810.0,1756.7857142857142,1859.642857142857,1890.0,False,
2026-08-24,TOTL.JK,🚀 BREAKOUT,1515.0,1330.357142857143,1618.9285714285716,1722.857142857143,False,
2026-08-24,TOWR.JK,🚀 BREAKOUT,456.0,414.2142857142857,479.3571428571428,502.7142857142857,False,TP1
2026-08-24,EMAS.JK,🚀 BREAKOUT,8725.0,7539.285714285715,9282.142857142857,9839.285714285714,False,TP1
2026-08-24,CSMI.JK,🚀 BREAKOUT,167.0,116.32142857142856,190.03571428571428,213.07142857142856,True,TP1
2026-08-24,BRMS.JK,🌟 KATALIS POSITIF MASIF,730.0,607.5,737.5,790.0,False,TP1
2026-08-24,SSIA.JK,🚀 BREAKOUT,1900.0,1722.321428571429,1998.0357142857144,2096.0714285714284,True,
2026-08-24,BRMS.JK,🌟 KATALIS POSITIF MASIF,730.0,607.5,737.5,790.0,False,TP1
2026-08-24,CSMI.JK,🚀 BREAKOUT,167.0,116.32142857142856,190.03571428571428,213.07142857142856,True,TP1
2026-08-24,TOTL.JK,🚀 BREAKOUT,1515.0,1330.357142857143,1618.9285714285716,1722.857142857143,False,
2026-08-24,TOWR.JK,🚀 BREAKOUT,456.0,414.2142857142857,479.3571428571428,502.7142857142857,False,TP1
2026-08-24,EMAS.JK,🚀 BREAKOUT,8725.0,7539.285714285715,9282.142857142857,9839.285714285714,False,TP1
2026-08-24,SSIA.JK,🚀 BREAKOUT,1900.0,1722.321428571429,1998.0357142857144,2096.0714285714284,True,
2026-08-25,BRMS.JK,🌟 KATALIS POSITIF MASIF,730.0,607.5,737.5,790.0,False,TP1
2026-08-25,TOTL.JK,🚀 BREAKOUT,1515.0,1330.357142857143,1618.9285714285716,1722.857142857143,False,
2026-08-25,TOWR.JK,🚀 BREAKOUT,456.0,414.2142857142857,479.3571428571428,502.7142857142857,False,TP1
2026-08-25,EMAS.JK,🚀 BREAKOUT,8725.0,7539.285714285715,9282.142857142857,9839.285714285714,False,TP1
2026-08-25,SSIA.JK,🚀 BREAKOUT,1900.0,1722.321428571429,1998.0357142857144,2096.0714285714284,True,
2026-08-25,BRMS.JK,🌟 KATALIS POSITIF MASIF,730.0,607.5,737.5,790.0,False,TP1
